id_movimento,data_emissao,data_vencimento,data_pagamento,tipo,categoria,centro_custo,entidade,forma_pagamento,valor_previsto,valor_realizado,status
MOV-00384,2025-04-26,2025-05-09,2025-05-06,Saída,Marketing,Administrativo,Fornecedor 40,PIX,10040.08,9991.18,Pago
MOV-00385,2025-04-20,2025-05-16,2025-05-14,Saída,Fornecedores,Operações,Fornecedor 23,Cartão,11637.2,11831.28,Pago
MOV-00386,2025-05-06,2025-05-16,2025-05-18,Saída,Fornecedores,Comercial,Fornecedor 43,PIX,1901.76,1882.43,Pago
MOV-00387,2025-05-10,2025-05-22,2025-05-18,Saída,Logística,Comercial,Fornecedor 17,Boleto,12296.44,12502.67,Pago
MOV-00388,2025-04-13,2025-05-02,2025-04-29,Saída,Pessoal,Tecnologia,Fornecedor 44,Transferência,10566.23,10803.43,Pago
MOV-00389,2025-04-17,2025-05-02,2025-05-07,Saída,Pessoal,Tecnologia,Fornecedor 23,Cartão,17352.67,17522.75,Pago em atraso
MOV-00390,2025-05-02,2025-05-24,2025-05-24,Saída,Administrativo,Marketing,Fornecedor 30,Transferência,4891.58,4798.5,Pago
MOV-00391,2025-04-14,2025-05-16,2025-05-13,Saída,Logística,Comercial,Fornecedor 11,PIX,10398.22,10156.81,Pago
MOV-00392,2025-04-23,2025-05-22,2025-05-23,Saída,Pessoal,Comercial,Fornecedor 44,Boleto,16786.5,17067.67,Pago
MOV-00393,2025-05-05,2025-05-15,2025-05-24,Saída,Pessoal,Administrativo,Fornecedor 37,Boleto,17772.81,17938.07,Pago em atraso
MOV-00394,2025-04-08,2025-05-11,2025-05-07,Saída,Administrativo,Operações,Fornecedor 31,Transferência,10136.23,10095.39,Pago
MOV-00395,2025-04-20,2025-05-05,2025-04-30,Saída,Marketing,Administrativo,Fornecedor 31,Cartão,9764.76,9478.64,Pago
MOV-00396,2025-05-05,2025-05-16,2025-05-16,Saída,Logística,Administrativo,Fornecedor 15,Cartão,2364.91,2431.62,Pago
MOV-00397,2025-05-02,2025-05-26,2025-05-22,Saída,Pessoal,Tecnologia,Fornecedor 08,Cartão,12819.85,13094.14,Pago
MOV-00398,2025-04-08,2025-05-13,2025-05-08,Saída,Tecnologia,Administrativo,Fornecedor 40,Transferência,1619.15,1650.81,Pago
MOV-00399,2025-05-10,2025-05-21,2025-05-21,Saída,Logística,Operações,Fornecedor 30,Transferência,8731.97,8660.37,Pago
MOV-00400,2025-04-18,2025-05-22,2025-05-24,Saída,Pessoal,Operações,Fornecedor 01,Transferência,12982.13,12681.48,Pago
MOV-00401,2025-06-15,2025-06-26,2025-06-26,Entrada,Vendas B2B,Operações,Cliente 32,Boleto,13550.5,13714.81,Pago
MOV-00402,2025-05-23,2025-06-14,2025-06-21,Entrada,Serviços,Operações,Cliente 30,Boleto,15353.92,15066.07,Pago em atraso
MOV-00403,2025-05-21,2025-06-14,2025-06-18,Entrada,Assinaturas,Marketing,Cliente 43,Boleto,4837.46,4916.45,Pago em atraso
MOV-00404,2025-05-30,2025-06-24,2025-07-08,Entrada,Serviços,Administrativo,Cliente 12,Boleto,3123.87,3187.38,Pago em atraso
MOV-00405,2025-05-22,2025-06-13,2025-06-13,Entrada,Assinaturas,Marketing,Cliente 39,Boleto,5179.03,5180.31,Pago
MOV-00406,2025-05-12,2025-06-10,2025-06-07,Entrada,Vendas B2B,Administrativo,Cliente 20,Transferência,19016.82,18603.98,Pago
MOV-00407,2025-06-02,2025-06-21,2025-06-19,Entrada,Assinaturas,Tecnologia,Cliente 44,Boleto,18551.56,18689.77,Pago
MOV-00408,2025-05-03,2025-06-06,2025-06-06,Entrada,Serviços,Tecnologia,Cliente 36,Cartão,13822.63,13997.09,Pago
MOV-00409,2025-05-31,2025-06-23,2025-06-22,Entrada,Assinaturas,Comercial,Cliente 34,PIX,18670.22,19093.07,Pago
MOV-00410,2025-06-07,2025-06-22,2025-07-01,Entrada,Vendas B2B,Tecnologia,Cliente 44,Transferência,5459.77,5541.73,Pago em atraso
MOV-00411,2025-06-02,2025-06-26,2025-06-21,Entrada,Vendas B2B,Comercial,Cliente 40,Boleto,4079.76,4045.17,Pago
MOV-00412,2025-05-28,2025-06-08,2025-06-07,Entrada,Assinaturas,Marketing,Cliente 25,Cartão,12351.13,12494.11,Pago
MOV-00413,2025-05-24,2025-06-11,2025-06-06,Entrada,Serviços,Operações,Cliente 40,Cartão,19219.43,18657.8,Pago
MOV-00414,2025-05-27,2025-06-23,2025-06-23,Entrada,Serviços,Administrativo,Cliente 13,Boleto,18153.51,18431.38,Pago
MOV-00415,2025-06-09,2025-06-22,2025-06-28,Entrada,Vendas B2B,Marketing,Cliente 03,Cartão,5991.59,6076.1,Pago em atraso
MOV-00416,2025-05-13,2025-06-06,2025-06-05,Entrada,Vendas B2B,Operações,Cliente 03,Boleto,7429.92,7209.54,Pago
MOV-00417,2025-05-28,2025-06-25,2025-06-24,Entrada,Serviços,Administrativo,Cliente 23,PIX,12941.11,12933.77,Pago
MOV-00418,2025-05-24,2025-06-08,2025-06-04,Entrada,Assinaturas,Marketing,Cliente 35,Cartão,8318.29,8461.16,Pago
MOV-00419,2025-05-22,2025-06-07,2025-06-07,Entrada,Vendas B2B,Administrativo,Cliente 34,Cartão,6716.81,6660.71,Pago
MOV-00420,2025-05-22,2025-06-21,2025-07-03,Entrada,Serviços,Administrativo,Cliente 40,Boleto,16698.87,16644.43,Pago em atraso
MOV-00421,2025-05-15,2025-06-11,2025-06-07,Entrada,Serviços,Tecnologia,Cliente 02,Transferência,14360.51,14262.18,Pago
MOV-00422,2025-06-04,2025-06-16,2025-06-23,Entrada,Vendas B2B,Comercial,Cliente 11,PIX,11480.73,11356.95,Pago em atraso
MOV-00423,2025-06-05,2025-06-21,2025-06-22,Entrada,Assinaturas,Administrativo,Cliente 45,Cartão,6544.23,6676.03,Pago
MOV-00424,2025-06-04,2025-06-24,2025-06-19,Entrada,Assinaturas,Comercial,Cliente 06,PIX,18621.8,18576.24,Pago
MOV-00425,2025-05-26,2025-06-18,2025-06-26,Entrada,Vendas B2B,Marketing,Cliente 29,Cartão,16210.55,16610.29,Pago em atraso
MOV-00426,2025-05-24,2025-06-22,2025-06-23,Entrada,Vendas B2B,Comercial,Cliente 38,PIX,3331.85,3360.12,Pago
MOV-00427,2025-05-29,2025-06-17,2025-06-27,Entrada,Assinaturas,Marketing,Cliente 25,Cartão,4254.66,4281.86,Pago em atraso
MOV-00428,2025-05-02,2025-06-06,2025-06-03,Entrada,Serviços,Administrativo,Cliente 19,Boleto,3562.61,3615.36,Pago
MOV-00429,2025-06-16,2025-06-26,2025-06-26,Entrada,Vendas B2B,Administrativo,Cliente 36,Boleto,17747.45,18234.5,Pago
MOV-00430,2025-05-18,2025-06-20,2025-06-16,Entrada,Vendas B2B,Tecnologia,Cliente 14,Cartão,3135.33,3098.59,Pago
MOV-00431,2025-05-18,2025-06-05,2025-06-03,Entrada,Serviços,Operações,Cliente 08,Boleto,17158.97,17279.31,Pago
MOV-00432,2025-05-21,2025-06-02,2025-06-04,Entrada,Assinaturas,Tecnologia,Cliente 43,PIX,12450.9,12558.98,Pago
MOV-00433,2025-05-19,2025-06-19,2025-06-19,Entrada,Vendas B2B,Operações,Cliente 07,Transferência,6322.81,6268.61,Pago
MOV-00434,2025-05-23,2025-06-11,2025-06-11,Entrada,Assinaturas,Administrativo,Cliente 10,Transferência,17965.16,18090.57,Pago
MOV-00435,2025-05-05,2025-06-06,2025-06-14,Saída,Logística,Marketing,Fornecedor 18,Transferência,13115.8,13340.6,Pago em atraso
MOV-00436,2025-05-22,2025-06-16,2025-06-16,Saída,Fornecedores,Administrativo,Fornecedor 07,Boleto,10336.03,10506.43,Pago
MOV-00437,2025-05-24,2025-06-09,2025-06-06,Saída,Marketing,Tecnologia,Fornecedor 41,PIX,2317.67,2372.08,Pago
MOV-00438,2025-05-31,2025-06-28,2025-06-23,Saída,Tecnologia,Marketing,Fornecedor 38,Boleto,12296.06,12526.72,Pago
MOV-00439,2025-06-04,2025-06-18,2025-06-20,Saída,Logística,Tecnologia,Fornecedor 26,Boleto,8101.98,8176.8,Pago
MOV-00440,2025-06-16,2025-06-28,2025-06-30,Saída,Logística,Marketing,Fornecedor 24,PIX,8570.11,8570.69,Pago
MOV-00441,2025-06-12,2025-06-26,2025-06-23,Saída,Marketing,Marketing,Fornecedor 11,Boleto,11752.59,11933.96,Pago
MOV-00442,2025-05-25,2025-06-05,2025-06-07,Saída,Pessoal,Operações,Fornecedor 32,Boleto,16591.93,17029.14,Pago
MOV-00443,2025-05-09,2025-06-02,2025-06-02,Saída,Fornecedores,Comercial,Fornecedor 03,Transferência,5858.33,5818.99,Pago
MOV-00444,2025-05-24,2025-06-21,2025-06-20,Saída,Fornecedores,Operações,Fornecedor 25,Cartão,13236.29,13298.74,Pago
MOV-00445,2025-05-27,2025-06-17,2025-06-15,Saída,Pessoal,Tecnologia,Fornecedor 32,Cartão,16191.61,16207.52,Pago
MOV-00446,2025-05-06,2025-06-05,2025-06-03,Saída,Logística,Tecnologia,Fornecedor 14,Boleto,1389.26,1354.01,Pago
MOV-00447,2025-06-03,2025-06-23,2025-06-21,Saída,Fornecedores,Comercial,Fornecedor 31,Cartão,5769.5,5739.94,Pago
MOV-00448,2025-05-17,2025-06-14,2025-06-16,Saída,Pessoal,Operações,Fornecedor 09,PIX,14140.13,13824.42,Pago
MOV-00449,2025-05-15,2025-06-06,2025-06-03,Saída,Logística,Administrativo,Fornecedor 37,PIX,3116.94,3120.05,Pago
MOV-00450,2025-05-29,2025-06-27,2025-06-23,Saída,Logística,Marketing,Fornecedor 31,Boleto,10274.46,10099.75,Pago
MOV-00451,2025-05-10,2025-06-05,2025-06-02,Saída,Fornecedores,Tecnologia,Fornecedor 11,Transferência,6367.42,6414.49,Pago
MOV-00452,2025-05-24,2025-06-03,2025-06-04,Saída,Administrativo,Operações,Fornecedor 34,Cartão,8655.5,8464.5,Pago
MOV-00453,2025-05-10,2025-06-06,2025-06-01,Saída,Logística,Administrativo,Fornecedor 08,PIX,8766.08,8964.76,Pago
MOV-00454,2025-06-06,2025-06-27,2025-07-11,Saída,Pessoal,Comercial,Fornecedor 45,Cartão,13662.87,13680.94,Pago em atraso
MOV-00455,2025-05-24,2025-06-26,2025-06-26,Saída,Fornecedores,Administrativo,Fornecedor 07,Cartão,11189.93,11249.72,Pago
MOV-00456,2025-05-12,2025-06-08,2025-06-04,Saída,Fornecedores,Marketing,Fornecedor 17,Boleto,7184.95,7091.52,Pago
MOV-00457,2025-05-10,2025-06-01,2025-05-28,Saída,Fornecedores,Operações,Fornecedor 45,Transferência,10467.48,10479.89,Pago
MOV-00458,2025-05-21,2025-06-19,2025-06-20,Saída,Pessoal,Tecnologia,Fornecedor 44,Cartão,11729.18,11774.69,Pago
MOV-00459,2025-05-30,2025-06-26,2025-06-23,Saída,Tecnologia,Marketing,Fornecedor 17,Transferência,6397.73,6347.91,Pago
MOV-00460,2025-05-12,2025-06-05,2025-06-01,Saída,Pessoal,Operações,Fornecedor 07,Boleto,11424.61,11594.48,Pago
MOV-00461,2025-05-21,2025-06-20,2025-06-15,Saída,Pessoal,Comercial,Fornecedor 06,Boleto,15814.31,15492.4,Pago
MOV-00462,2025-05-07,2025-06-09,2025-06-05,Saída,Pessoal,Marketing,Fornecedor 26,Transferência,8045.73,8098.36,Pago
MOV-00463,2025-06-09,2025-06-25,2025-06-27,Saída,Tecnologia,Administrativo,Fornecedor 19,Boleto,8667.07,8635.33,Pago
MOV-00464,2025-05-27,2025-06-17,2025-06-14,Saída,Fornecedores,Operações,Fornecedor 42,PIX,8692.23,8782.99,Pago
MOV-00465,2025-05-18,2025-06-09,2025-06-09,Saída,Administrativo,Administrativo,Fornecedor 13,PIX,2377.64,2401.84,Pago
MOV-00466,2025-05-16,2025-06-03,2025-06-03,Saída,Tecnologia,Operações,Fornecedor 39,Boleto,2153.16,2133.46,Pago
MOV-00467,2025-05-11,2025-06-06,2025-06-02,Saída,Pessoal,Tecnologia,Fornecedor 22,PIX,7135.7,7160.8,Pago
MOV-00468,2025-05-27,2025-06-18,2025-06-17,Saída,Logística,Administrativo,Fornecedor 31,Boleto,13091.79,13244.33,Pago
MOV-00469,2025-05-28,2025-06-15,2025-06-10,Saída,Tecnologia,Comercial,Fornecedor 25,Boleto,13147.58,13133.36,Pago
MOV-00470,2025-06-01,2025-06-11,2025-06-11,Saída,Marketing,Tecnologia,Fornecedor 16,Transferência,4140.05,4144.15,Pago
MOV-00471,2025-06-06,2025-06-27,2025-06-24,Saída,Fornecedores,Operações,Fornecedor 37,Transferência,9605.94,9592.43,Pago
MOV-00472,2025-05-21,2025-06-07,2025-06-05,Saída,Fornecedores,Tecnologia,Fornecedor 14,Boleto,10498.41,10331.4,Pago
MOV-00473,2025-06-08,2025-06-20,2025-06-16,Saída,Fornecedores,Marketing,Fornecedor 40,PIX,4383.5,4283.52,Pago
MOV-00474,2025-05-08,2025-06-02,2025-06-02,Saída,Tecnologia,Administrativo,Fornecedor 18,Cartão,7977.33,8035.09,Pago
MOV-00475,2025-06-03,2025-06-17,2025-06-15,Saída,Fornecedores,Comercial,Fornecedor 34,Cartão,10721.42,10882.35,Pago
MOV-00476,2025-05-31,2025-06-13,2025-06-10,Saída,Pessoal,Administrativo,Fornecedor 30,Transferência,12561.98,12529.72,Pago
MOV-00477,2025-05-09,2025-06-07,2025-06-03,Saída,Marketing,Tecnologia,Fornecedor 12,Transferência,1453.59,1438.37,Pago
MOV-00478,2025-06-04,2025-06-20,2025-06-17,Saída,Fornecedores,Marketing,Fornecedor 45,Transferência,7113.56,7113.04,Pago
MOV-00479,2025-05-17,2025-06-19,2025-06-17,Saída,Pessoal,Tecnologia,Fornecedor 16,Cartão,11997.95,12224.13,Pago
MOV-00480,2025-06-16,2025-06-26,2025-06-23,Saída,Logística,Operações,Fornecedor 27,Cartão,3722.91,3716.88,Pago
MOV-00481,2025-07-02,2025-07-21,2025-07-21,Entrada,Vendas B2B,Tecnologia,Cliente 36,PIX,16377.71,16658.1,Pago
MOV-00482,2025-06-02,2025-07-02,2025-07-01,Entrada,Vendas B2B,Comercial,Cliente 29,Transferência,13296.26,13277.54,Pago
MOV-00483,2025-06-25,2025-07-18,2025-07-17,Entrada,Vendas B2B,Comercial,Cliente 23,Boleto,8276.66,8199.26,Pago
MOV-00484,2025-06-17,2025-07-18,2025-07-17,Entrada,Assinaturas,Administrativo,Cliente 32,Cartão,12677.96,12567.74,Pago
MOV-00485,2025-06-10,2025-07-10,2025-07-07,Entrada,Serviços,Tecnologia,Cliente 27,Cartão,8592.28,8782.13,Pago
MOV-00486,2025-06-17,2025-07-06,2025-07-06,Entrada,Serviços,Tecnologia,Cliente 39,Cartão,3884.43,3841.75,Pago
MOV-00487,2025-07-13,2025-07-28,2025-07-30,Entrada,Vendas B2B,Comercial,Cliente 09,Boleto,9562.46,9513.11,Pago
MOV-00488,2025-07-10,2025-07-23,2025-07-21,Entrada,Assinaturas,Comercial,Cliente 05,Cartão,17094.65,16753.01,Pago
MOV-00489,2025-06-14,2025-07-13,2025-07-09,Entrada,Assinaturas,Operações,Cliente 06,Cartão,3200.75,3124.69,Pago
MOV-00490,2025-06-25,2025-07-10,2025-07-07,Entrada,Vendas B2B,Comercial,Cliente 03,Transferência,6560.43,6415.29,Pago
MOV-00491,2025-07-02,2025-07-16,2025-07-15,Entrada,Serviços,Administrativo,Cliente 12,Cartão,7743.06,7765.61,Pago
MOV-00492,2025-06-24,2025-07-19,2025-07-18,Entrada,Assinaturas,Administrativo,Cliente 15,PIX,12464.94,12770.77,Pago
MOV-00493,2025-06-05,2025-07-09,2025-07-10,Entrada,Vendas B2B,Operações,Cliente 23,Transferência,8359.91,8109.16,Pago
MOV-00494,2025-06-12,2025-07-16,2025-07-18,Entrada,Vendas B2B,Marketing,Cliente 19,Boleto,2926.42,2891.23,Pago
MOV-00495,2025-06-22,2025-07-07,2025-07-08,Entrada,Assinaturas,Marketing,Cliente 25,Boleto,11132.83,11062.53,Pago
MOV-00496,2025-06-05,2025-07-08,2025-07-07,Entrada,Vendas B2B,Administrativo,Cliente 18,Cartão,9218.04,9098.95,Pago
MOV-00497,2025-06-17,2025-07-05,2025-07-07,Entrada,Vendas B2B,Administrativo,Cliente 32,Boleto,3840.65,3867.78,Pago
MOV-00498,2025-07-04,2025-07-18,2025-07-22,Entrada,Vendas B2B,Marketing,Cliente 01,Boleto,5112.67,5045.83,Pago em atraso
MOV-00499,2025-06-12,2025-07-07,2025-07-06,Entrada,Vendas B2B,Tecnologia,Cliente 30,PIX,3023.82,3075.66,Pago
MOV-00500,2025-06-10,2025-07-05,2025-07-18,Entrada,Vendas B2B,Operações,Cliente 13,Transferência,15621.9,15220.15,Pago em atraso
MOV-00501,2025-06-10,2025-07-04,2025-07-02,Entrada,Assinaturas,Operações,Cliente 03,Boleto,15389.43,15283.06,Pago
MOV-00502,2025-06-16,2025-07-17,2025-07-15,Entrada,Vendas B2B,Tecnologia,Cliente 21,Boleto,14519.14,14495.47,Pago
MOV-00503,2025-06-29,2025-07-18,2025-07-17,Entrada,Assinaturas,Operações,Cliente 24,PIX,3441.23,3437.35,Pago
MOV-00504,2025-06-19,2025-07-04,2025-07-05,Entrada,Serviços,Tecnologia,Cliente 38,PIX,6110.38,6046.04,Pago
MOV-00505,2025-06-18,2025-07-02,2025-07-04,Entrada,Vendas B2B,Tecnologia,Cliente 06,Boleto,6494.96,6568.38,Pago
MOV-00506,2025-06-20,2025-07-20,2025-07-15,Entrada,Vendas B2B,Operações,Cliente 45,PIX,4189.3,4078.65,Pago
MOV-00507,2025-06-24,2025-07-18,2025-07-18,Entrada,Vendas B2B,Operações,Cliente 02,Cartão,6336.65,6452.81,Pago
MOV-00508,2025-06-05,2025-07-02,2025-07-04,Entrada,Vendas B2B,Marketing,Cliente 13,Boleto,4847.93,4865.1,Pago
MOV-00509,2025-07-01,2025-07-15,2025-07-12,Entrada,Assinaturas,Marketing,Cliente 19,Transferência,7719.95,7520.25,Pago
MOV-00510,2025-07-15,2025-07-25,2025-07-26,Entrada,Assinaturas,Administrativo,Cliente 24,Boleto,9702.0,9838.02,Pago
MOV-00511,2025-06-23,2025-07-18,2025-07-16,Entrada,Vendas B2B,Administrativo,Cliente 10,Transferência,3762.79,3768.22,Pago
MOV-00512,2025-06-20,2025-07-04,2025-07-07,Entrada,Vendas B2B,Operações,Cliente 03,Boleto,12541.74,12198.43,Pago em atraso
MOV-00513,2025-06-06,2025-07-02,2025-07-03,Entrada,Vendas B2B,Administrativo,Cliente 45,Transferência,5712.57,5766.7,Pago
MOV-00514,2025-07-11,2025-07-23,2025-07-30,Entrada,Vendas B2B,Marketing,Cliente 41,PIX,6154.99,6212.51,Pago em atraso
MOV-00515,2025-07-09,2025-07-27,2025-07-22,Saída,Pessoal,Administrativo,Fornecedor 03,PIX,15404.31,15703.44,Pago
MOV-00516,2025-06-20,2025-07-07,2025-07-03,Saída,Logística,Administrativo,Fornecedor 25,Boleto,2080.67,2030.89,Pago
MOV-00517,2025-06-22,2025-07-19,2025-07-16,Saída,Fornecedores,Marketing,Fornecedor 07,Transferência,8622.7,8652.93,Pago
MOV-00518,2025-06-17,2025-07-14,2025-07-11,Saída,Marketing,Marketing,Fornecedor 33,Transferência,9138.82,9299.19,Pago
MOV-00519,2025-06-23,2025-07-20,2025-07-20,Saída,Marketing,Tecnologia,Fornecedor 24,Cartão,7233.08,7407.75,Pago
MOV-00520,2025-07-08,2025-07-24,2025-07-22,Saída,Tecnologia,Marketing,Fornecedor 36,Transferência,6065.65,6088.63,Pago
MOV-00521,2025-06-05,2025-07-01,2025-06-30,Saída,Pessoal,Operações,Fornecedor 20,PIX,16098.24,16190.74,Pago
MOV-00522,2025-06-05,2025-07-01,2025-06-30,Saída,Pessoal,Administrativo,Fornecedor 37,Boleto,15057.2,15435.84,Pago
MOV-00523,2025-06-18,2025-07-05,2025-07-05,Saída,Fornecedores,Operações,Fornecedor 17,Transferência,6402.18,6551.85,Pago
MOV-00524,2025-06-22,2025-07-07,2025-07-07,Saída,Fornecedores,Marketing,Fornecedor 45,PIX,5717.72,5818.2,Pago
MOV-00525,2025-07-13,2025-07-24,2025-07-25,Saída,Marketing,Tecnologia,Fornecedor 23,Cartão,4594.44,4478.24,Pago
MOV-00526,2025-06-08,2025-07-08,2025-07-03,Saída,Pessoal,Marketing,Fornecedor 04,Transferência,15197.87,15319.96,Pago
MOV-00527,2025-06-10,2025-07-11,2025-07-09,Saída,Pessoal,Marketing,Fornecedor 29,PIX,12149.13,11896.33,Pago
MOV-00528,2025-06-15,2025-07-13,2025-07-13,Saída,Fornecedores,Comercial,Fornecedor 36,Cartão,4474.55,4362.47,Pago
MOV-00529,2025-06-19,2025-07-14,2025-07-11,Saída,Fornecedores,Administrativo,Fornecedor 13,Cartão,5703.36,5793.03,Pago
MOV-00530,2025-06-20,2025-07-24,2025-07-22,Saída,Pessoal,Marketing,Fornecedor 21,PIX,12111.68,11800.39,Pago
MOV-00531,2025-06-12,2025-07-12,2025-07-12,Saída,Fornecedores,Comercial,Fornecedor 20,Boleto,5873.48,5818.69,Pago
MOV-00532,2025-07-09,2025-07-26,2025-07-23,Saída,Administrativo,Operações,Fornecedor 44,Transferência,8163.3,8134.14,Pago
MOV-00533,2025-06-04,2025-07-03,2025-06-28,Saída,Fornecedores,Operações,Fornecedor 19,PIX,9431.9,9286.49,Pago
MOV-00534,2025-06-30,2025-07-16,2025-07-23,Saída,Pessoal,Operações,Fornecedor 35,Transferência,9551.18,9688.72,Pago em atraso
MOV-00535,2025-06-22,2025-07-23,2025-07-18,Saída,Pessoal,Administrativo,Fornecedor 03,Transferência,16423.02,16301.43,Pago
MOV-00536,2025-06-26,2025-07-26,2025-07-25,Saída,Fornecedores,Comercial,Fornecedor 05,Cartão,4409.35,4291.11,Pago
MOV-00537,2025-06-22,2025-07-22,2025-07-18,Saída,Marketing,Marketing,Fornecedor 15,Cartão,8691.69,8440.89,Pago
MOV-00538,2025-06-20,2025-07-16,2025-07-12,Saída,Pessoal,Marketing,Fornecedor 36,PIX,15538.72,15246.36,Pago
MOV-00539,2025-06-30,2025-07-10,2025-07-11,Saída,Fornecedores,Tecnologia,Fornecedor 44,Transferência,11621.65,11792.06,Pago
MOV-00540,2025-06-25,2025-07-17,2025-07-12,Saída,Pessoal,Comercial,Fornecedor 36,Transferência,16459.94,16584.17,Pago
MOV-00541,2025-06-17,2025-07-13,2025-07-09,Saída,Fornecedores,Administrativo,Fornecedor 41,Boleto,5062.18,5132.0,Pago
MOV-00542,2025-06-26,2025-07-10,2025-07-10,Saída,Pessoal,Operações,Fornecedor 42,Boleto,10764.65,10731.82,Pago
MOV-00543,2025-06-11,2025-07-07,2025-07-06,Saída,Marketing,Operações,Fornecedor 28,Boleto,8929.75,9030.76,Pago
MOV-00544,2025-06-22,2025-07-06,2025-07-02,Saída,Marketing,Comercial,Fornecedor 21,Cartão,7582.74,7439.03,Pago
MOV-00545,2025-07-08,2025-07-24,2025-07-23,Saída,Administrativo,Comercial,Fornecedor 09,Boleto,4627.83,4531.19,Pago
MOV-00546,2025-07-03,2025-07-20,2025-07-18,Saída,Fornecedores,Comercial,Fornecedor 23,PIX,12341.3,12412.65,Pago
MOV-00547,2025-06-26,2025-07-17,2025-07-19,Saída,Marketing,Operações,Fornecedor 25,Cartão,6585.61,6669.39,Pago
MOV-00548,2025-06-21,2025-07-14,2025-07-09,Saída,Pessoal,Operações,Fornecedor 43,Boleto,8762.73,8986.41,Pago
MOV-00549,2025-06-21,2025-07-15,2025-07-17,Saída,Tecnologia,Operações,Fornecedor 28,Cartão,1947.34,1969.29,Pago
MOV-00550,2025-06-24,2025-07-27,2025-07-27,Saída,Tecnologia,Administrativo,Fornecedor 39,PIX,8069.61,8018.36,Pago
MOV-00551,2025-06-10,2025-07-02,2025-06-30,Saída,Pessoal,Comercial,Fornecedor 36,Cartão,14770.1,14786.67,Pago
MOV-00552,2025-06-21,2025-07-10,2025-07-09,Saída,Pessoal,Marketing,Fornecedor 11,Cartão,6992.95,7107.78,Pago
MOV-00553,2025-06-23,2025-07-23,2025-07-20,Saída,Fornecedores,Marketing,Fornecedor 06,PIX,11585.07,11559.75,Pago
MOV-00554,2025-06-29,2025-07-23,2025-07-24,Saída,Fornecedores,Comercial,Fornecedor 12,Cartão,7815.56,7775.03,Pago
MOV-00555,2025-06-05,2025-07-07,2025-07-03,Saída,Marketing,Operações,Fornecedor 08,PIX,9252.77,9114.02,Pago
MOV-00556,2025-06-16,2025-07-12,2025-07-25,Saída,Fornecedores,Administrativo,Fornecedor 11,Cartão,6278.2,6363.66,Pago em atraso
MOV-00557,2025-06-27,2025-07-11,2025-07-08,Saída,Pessoal,Operações,Fornecedor 04,Cartão,8208.85,8042.44,Pago
MOV-00558,2025-06-24,2025-07-10,2025-07-06,Saída,Pessoal,Comercial,Fornecedor 40,Transferência,16109.66,16494.88,Pago
MOV-00559,2025-06-21,2025-07-16,2025-07-11,Saída,Fornecedores,Operações,Fornecedor 14,Cartão,6823.19,6867.4,Pago
MOV-00560,2025-06-04,2025-07-01,2025-06-30,Saída,Pessoal,Operações,Fornecedor 04,Boleto,12512.17,12602.08,Pago
MOV-00561,2025-07-04,2025-08-02,2025-08-04,Entrada,Vendas B2B,Tecnologia,Cliente 22,PIX,11584.13,11700.2,Pago
MOV-00562,2025-07-05,2025-08-06,2025-08-05,Entrada,Vendas B2B,Administrativo,Cliente 37,Boleto,8315.35,8370.78,Pago
MOV-00563,2025-07-23,2025-08-12,2025-08-08,Entrada,Serviços,Tecnologia,Cliente 25,PIX,12912.8,13120.83,Pago
MOV-00564,2025-07-16,2025-08-03,2025-07-31,Entrada,Assinaturas,Tecnologia,Cliente 34,Cartão,14212.66,13890.34,Pago
MOV-00565,2025-07-26,2025-08-20,2025-09-06,Entrada,Assinaturas,Administrativo,Cliente 19,Cartão,12172.71,12528.53,Pago em atraso
MOV-00566,2025-07-19,2025-08-17,2025-08-17,Entrada,Assinaturas,Administrativo,Cliente 32,Cartão,6925.67,7103.15,Pago
MOV-00567,2025-08-10,2025-08-20,2025-08-19,Entrada,Vendas B2B,Comercial,Cliente 02,Cartão,5036.48,5181.31,Pago
MOV-00568,2025-08-08,2025-08-28,2025-08-29,Entrada,Assinaturas,Tecnologia,Cliente 36,Boleto,4179.15,4157.6,Pago
MOV-00569,2025-07-15,2025-08-10,2025-08-06,Entrada,Vendas B2B,Administrativo,Cliente 21,PIX,5330.82,5269.34,Pago
MOV-00570,2025-07-28,2025-08-13,2025-08-08,Entrada,Vendas B2B,Tecnologia,Cliente 22,Cartão,7157.97,7300.58,Pago
MOV-00571,2025-07-25,2025-08-21,2025-08-26,Entrada,Serviços,Tecnologia,Cliente 30,Cartão,13575.62,13679.23,Pago em atraso
MOV-00572,2025-08-07,2025-08-17,2025-08-17,Entrada,Serviços,Operações,Cliente 37,Transferência,3322.9,3333.9,Pago
MOV-00573,2025-08-02,2025-08-12,2025-08-17,Entrada,Assinaturas,Tecnologia,Cliente 25,Boleto,14831.22,14635.86,Pago em atraso
MOV-00574,2025-07-31,2025-08-20,2025-08-30,Entrada,Assinaturas,Comercial,Cliente 18,Cartão,7936.48,8034.23,Pago em atraso
MOV-00575,2025-07-24,2025-08-12,2025-08-11,Entrada,Vendas B2B,Operações,Cliente 08,Transferência,14679.34,14429.33,Pago
MOV-00576,2025-07-08,2025-08-03,2025-07-29,Entrada,Assinaturas,Operações,Cliente 13,Transferência,13306.4,13545.14,Pago
MOV-00577,2025-08-04,2025-08-17,2025-08-17,Entrada,Serviços,Administrativo,Cliente 44,Boleto,12679.12,12407.76,Pago
