Data,Lote,Produto,Linha,PlanejadoKg,ProduzidoKg,PerdaKg,RendimentoPct,LeadTimeHoras,Risco
2026-08-14,LT-2026298,Produto A,Linha 3,1002,827,35.9,82.53,40.7,Alto
2026-07-27,LT-2026299,Produto B,Linha 1,1223,1196,5.9,97.79,28.0,Baixo
2026-04-15,LT-2026300,Produto F,Linha 1,882,751,27.0,85.15,25.6,Médio
2026-04-05,LT-2026301,Produto F,Linha 4,721,634,21.9,87.93,24.0,Baixo
2026-06-25,LT-2026302,Produto D,Linha 1,1242,1001,33.9,80.6,20.7,Baixo
2026-08-11,LT-2026303,Produto G,Linha 1,1041,782,41.9,75.12,16.0,Baixo
2026-06-01,LT-2026304,Produto F,Linha 2,1461,1205,66.5,82.48,35.8,Alto
2026-01-25,LT-2026305,Produto C,Linha 3,839,815,5.5,97.14,14.0,Baixo
2026-05-25,LT-2026306,Produto G,Linha 3,904,732,36.8,80.97,15.1,Médio
2026-01-07,LT-2026307,Produto C,Linha 2,1189,1179,2.0,99.16,16.4,Alto
2026-05-26,LT-2026308,Produto E,Linha 2,837,755,11.7,90.2,26.0,Médio
2026-07-04,LT-2026309,Produto D,Linha 1,929,714,25.0,76.86,52.8,Alto
2026-02-17,LT-2026310,Produto F,Linha 4,775,740,4.3,95.48,12.3,Baixo
2026-04-27,LT-2026311,Produto G,Linha 1,1308,1131,20.9,86.47,36.5,Médio
2026-08-20,LT-2026312,Produto H,Linha 1,1390,1229,36.4,88.42,24.9,Alto
2026-07-04,LT-2026313,Produto D,Linha 4,777,838,0.0,107.85,36.7,Baixo
2026-01-20,LT-2026314,Produto E,Linha 1,1234,1094,43.1,88.65,21.6,Baixo
2026-03-27,LT-2026315,Produto D,Linha 4,1298,1259,9.3,97.0,9.6,Baixo
2026-02-14,LT-2026316,Produto C,Linha 3,722,654,11.0,90.58,34.1,Médio
2026-01-30,LT-2026317,Produto G,Linha 1,1056,982,23.1,92.99,12.6,Baixo
2026-07-29,LT-2026318,Produto F,Linha 2,1026,795,57.0,77.49,41.9,Alto
2026-02-02,LT-2026319,Produto G,Linha 4,1172,1193,0.0,101.79,22.3,Baixo
2026-03-10,LT-2026320,Produto C,Linha 3,1493,1269,51.3,85.0,50.6,Baixo
